Patient: SolidWater  Test, SW_Farmer 
Plan: 10x10 Open DQA
All distances / positions in [mm]
Intensity values: Absolute dose in [Gy]
Distance	-100.0	-90.0	-80.0	-70.0	-60.0	-50.0	-40.0	-30.0	-25.0	-20.0	-15.0	-10.0	10.0	15.0	20.0	25.0	30.0	40.0	50.0	60.0	70.0	80.0	90.0	100.0	*	100.0	90.0	80.0	70.0	60.0	50.0	40.0	30.0	25.0	20.0	15.0	10.0	5.0	0.0	-5.0	-10.0	-15.0	-20.0	-25.0	-30.0	-40.0	-50.0	-60.0	-70.0	-80.0	-90.0	-100.0	
X (iec-left)	-100.0	-90.0	-80.0	-70.0	-60.0	-50.0	-40.0	-30.0	-25.0	-20.0	-15.0	-10.0	10.0	15.0	20.0	25.0	30.0	40.0	50.0	60.0	70.0	80.0	90.0	100.0	*	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Z (iec-up)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	*	100.0	90.0	80.0	70.0	60.0	50.0	40.0	30.0	25.0	20.0	15.0	10.0	5.0	0.0	-5.0	-10.0	-15.0	-20.0	-25.0	-30.0	-40.0	-50.0	-60.0	-70.0	-80.0	-90.0	-100.0	
Y (iec-head)	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
100.0	0.0222	0.0255	0.0296	0.0337	0.0373	0.0407	0.0440	0.0469		0.0508		0.0530	0.0529		0.0508		0.0460	0.0432	0.0396	0.0367	0.0326	0.0287	0.0249	0.0211	*	0.0446	0.0428	0.0453	0.0472	0.0489	0.0504	0.0519	0.0529		0.0531		0.0540		0.0544		0.0544		0.0550		0.0533	0.0531	0.0514	0.0496	0.0485	0.0467	0.0431	0.0420	
90.0	0.0256	0.0301	0.0355	0.0409	0.0458	0.0511	0.0565	0.0598		0.0639		0.0674	0.0665		0.0638		0.0584	0.0549	0.0505	0.0450	0.0397	0.0340	0.0294	0.0249	*	0.0562	0.0534	0.0561	0.0593	0.0617	0.0638	0.0650	0.0666		0.0675		0.0678		0.0684		0.0686		0.0685		0.0682	0.0665	0.0646	0.0630	0.0606	0.0578	0.0548	0.0531	
80.0	0.0298	0.0357	0.0434	0.0501	0.0584	0.0649	0.0720	0.0779		0.0835		0.0875	0.0864		0.0826		0.0766	0.0699	0.0634	0.0558	0.0487	0.0414	0.0344	0.0295	*	0.0723	0.0688	0.0728	0.0764	0.0799	0.0834	0.0851	0.0879		0.0883		0.0894		0.0902		0.0893		0.0900		0.0889	0.0868	0.0848	0.0809	0.0783	0.0749	0.0708	0.0689	
70.0	0.0349	0.0430	0.0522	0.0630	0.0739	0.0855	0.0969	0.1070		0.1145		0.1186	0.1174		0.1118		0.1045	0.0937	0.0835	0.0713	0.0602	0.0505	0.0417	0.0340	*	0.0964	0.0922	0.0975	0.1032	0.1083	0.1134	0.1162	0.1193		0.1208		0.1217		0.1219		0.1224		0.1219		0.1198	0.1173	0.1141	0.1089	0.1043	0.0998	0.0941	0.0942	
60.0	0.0408	0.0505	0.0631	0.0763	0.0966	0.1227	0.1466	0.1621		0.1707		0.1750	0.1726		0.1681		0.1550	0.1390	0.1183	0.0924	0.0745	0.0602	0.0493	0.0401	*	0.1471	0.1450	0.1516	0.1583	0.1651	0.1718	0.1758	0.1798		0.1804		0.1814		0.1816		0.1809		0.0009		0.1803	0.1772	0.1726	0.1658	0.1603	0.1543	0.1486	0.1546	
50.0	0.0476	0.0602	0.0753	0.0958	0.1342	0.5019	0.7932	0.8093		0.7985		0.7763	0.7062		0.6906		0.6683	0.6218	0.4166	0.1269	0.0921	0.0732	0.0575	0.0463	*	0.5489	0.6035	0.6487	0.6899	0.7303	0.7608	0.7854	0.7919		0.7561		0.7362		0.7795		0.7891		0.8016		0.7718	0.7477	0.7112	0.6623	0.6305	0.5912	0.5485	0.5393	
40.0	0.0538	0.0688	0.0880	0.1146	0.1734	0.9387	1.5099	1.5381		1.5453		1.5512	1.5403		1.5284		1.5285	1.4912	0.8111	0.1631	0.1108	0.0847	0.0665	0.0526	*	1.7270	1.7824	1.7470	1.7195	1.6990	1.6601	1.6359	1.6106		1.6078		1.5917		1.5829		1.5943		1.5986		1.6019	1.6015	1.6195	1.6480	1.6686	1.6935	1.7290	1.7377	
30.0	0.0579	0.0745	0.0966	0.1276	0.1934	0.9864	1.5582	1.5897	1.5958	1.6009	1.6020	1.6092	1.6054	1.5988	1.5949	1.5973	1.5891	1.5361	0.8426	0.1827	0.1227	0.0929	0.0725	0.0566	*	1.7702	1.8365	1.8013	1.7799	1.7582	1.7257	1.7094	1.6837	1.6720	1.6743	1.6550	1.6485	1.6554	1.6519	1.6610	1.6487	1.6441	1.6662	1.6589	1.6712	1.7010	1.7067	1.7540	1.7811	1.8008	1.8227	1.8649	
25.0								1.6056	1.6157	1.6111	1.6327	1.6237	1.6151	1.6145	1.6123	1.5999	1.6084								*								1.6696	1.6445	1.6505	1.6352	1.6318	1.6359	1.6368	1.6331	1.6362	1.6320	1.6656	1.6567	1.6694								
20.0	0.0610	0.0790	0.1017	0.1357	0.2049	1.0257	1.5788	1.6177	1.6283	1.6252	1.6262	1.6335	1.6261	1.6184	1.6210	1.6172	1.6095	1.5730	0.8520	0.1940	0.1309	0.0994	0.0764	0.0594	*	1.7580	1.8467	1.8037	1.7723	1.7658	1.7296	1.7103	1.6878	1.6661	1.6704	1.6434	1.6531	1.6594	1.6504	1.6610	1.6521	1.6435	1.6712	1.6785	1.6956	1.7129	1.7265	1.7664	1.7860	1.8132	1.8425	1.8891	
15.0								1.6232	1.6325	1.6389	1.6366	1.6459	1.6315	1.6329	1.6285	1.6309	1.6179								*								1.6951	1.6818	1.6618	1.6555	1.6429	1.6462	1.6473	1.6427	1.6514	1.6470	1.6631	1.6715	1.6819								
10.0	0.0636	0.0815	0.1068	0.1415	0.2135	1.0370	1.5990	1.6313	1.6344	1.6417	1.6387	1.6465	1.6383	1.6379	1.6352	1.6335	1.6259	1.5863	0.8682	0.2018	0.1372	0.1021	0.0790	0.0620	*	1.7988	1.8927	1.8255	1.7929	1.7806	1.7456	1.7143	1.6829	1.6739	1.6548	1.6478	1.6507	1.6489	1.6500	1.6558	1.6449	1.6541	1.6715	1.6834	1.6940	1.7274	1.7476	1.7698	1.8037	1.8138	1.8702	1.9165	
5.0								1.6328	1.6418	1.6464	1.6426	1.6459	1.6392	1.6374	1.6402	1.6367	1.6308								*								1.6952	1.6663	1.6699	1.6450	1.6579	1.6442	1.6559	1.6513	1.6527	1.6495	1.6618	1.6772	1.6727								
0.0	0.0642	0.0817	0.1074	0.1446	0.2159	1.0468	1.6129	1.6331	1.6435	1.6484	1.6495	1.6508	1.6464	1.6424	1.6435	1.6397	1.6333	1.5964	0.8572	0.2032	0.1393	0.1043	0.0801	0.0619	*	1.7950	1.8724	1.8200	1.7908	1.7838	1.7490	1.7220	1.7006	1.6777	1.6822	1.6651	1.6703	1.6707	1.6741	1.6764	1.6652	1.6651	1.6738	1.6871	1.7062	1.7273	1.7436	1.7750	1.7922	1.8164	1.8533	1.8932	
-5.0								1.6425	1.6395	1.6498	1.6529	1.6549	1.6520	1.6526	1.6404	1.6355	1.6322								*								1.6931	1.6938	1.6827	1.6465	1.6597	1.6620	1.6581	1.6658	1.6604	1.6639	1.6735	1.6801	1.7015								
-10.0	0.0636	0.0828	0.1075	0.1425	0.2160	1.0494	1.6099	1.6437	1.6454	1.6410	1.6520	1.6522	1.6527	1.6500	1.6439	1.6427	1.6297	1.5983	0.8501	0.2001	0.1378	0.1034	0.0795	0.0620	*	1.8142	1.8880	1.8533	1.8293	1.8064	1.7720	1.7395	1.7211	1.7010	1.7140	1.6698	1.6754	1.6823	1.6862	1.6656	1.6732	1.6666	1.6765	1.6991	1.6992	1.7286	1.7448	1.7622	1.7892	1.8109	1.8418	1.8780	
-15.0								1.6340	1.6481	1.6532	1.6526	1.6514	1.6492	1.6500	1.6495	1.6433	1.6360								*								1.6944	1.6986	1.6863	1.6711	1.6595	1.6608	1.6635	1.6730	1.6750	1.6659	1.6725	1.6900	1.6896								
-20.0	0.0627	0.0804	0.1053	0.1393	0.2131	1.0677	1.5995	1.6374	1.6448	1.6450	1.6464	1.6553	1.6449	1.6381	1.6559	1.6500	1.6339	1.5888	0.8428	0.1984	0.1342	0.1007	0.0778	0.0609	*	1.7939	1.8685	1.8418	1.8149	1.7927	1.7621	1.7266	1.7084	1.6945	1.6833	1.6657	1.6751	1.6770	1.6738	1.6854	1.6866	1.6840	1.7002	1.6919	1.7142	1.7399	1.7578	1.7707	1.7812	1.8257	1.8473	1.8994	
-25.0								1.6289	1.6315	1.6428	1.6446	1.6376	1.6418	1.6297	1.6327	1.6283	1.6112								*								1.6941	1.6815	1.6696	1.6497	1.6514	1.6715	1.6753	1.6658	1.6665	1.6613	1.6863	1.6782	1.6980								
-30.0	0.0602	0.0764	0.0996	0.1324	0.2022	1.0629	1.5855	1.6169	1.6274	1.6313	1.6316	1.6373	1.6254	1.6268	1.6238	1.6131	1.6108	1.5670	0.8168	0.1880	0.1276	0.0959	0.0752	0.0588	*	1.7756	1.8641	1.8267	1.7857	1.7604	1.7397	1.7106	1.6886	1.6778	1.6693	1.6617	1.6454	1.6498	1.6533	1.6522	1.6584	1.6515	1.6739	1.6826	1.6974	1.7141	1.7242	1.7711	1.7903	1.8317	1.8664	1.8862	
-40.0	0.0564	0.0720	0.0914	0.1201	0.1828	1.0392	1.5425	1.5636		1.5801		1.5886	1.5853		1.5731		1.5614	1.5272	0.7944	0.1694	0.1156	0.0897	0.0696	0.0549	*	1.7277	1.7772	1.7568	1.7187	1.7069	1.6794	1.6581	1.6416		1.6241		1.6001		1.6006		1.6158		1.6343		1.6414	1.6605	1.6890	1.7101	1.7364	1.7723	1.8081	1.8252	
