Patient: SolidWater  Test, SW_Farmer 
Plan: 10x10 Open DQA
All distances / positions in [mm]
Intensity values: Absolute dose in [Gy]
Distance	-100.0	-90.0	-80.0	-70.0	-60.0	-50.0	-40.0	-30.0	-25.0	-20.0	-15.0	-10.0	10.0	15.0	20.0	25.0	30.0	40.0	50.0	60.0	70.0	80.0	90.0	100.0	*	100.0	90.0	80.0	70.0	60.0	50.0	40.0	30.0	25.0	20.0	15.0	10.0	5.0	0.0	-5.0	-10.0	-15.0	-20.0	-25.0	-30.0	-40.0	-50.0	-60.0	-70.0	-80.0	-90.0	-100.0	
X (iec-left)	-100.0	-90.0	-80.0	-70.0	-60.0	-50.0	-40.0	-30.0	-25.0	-20.0	-15.0	-10.0	10.0	15.0	20.0	25.0	30.0	40.0	50.0	60.0	70.0	80.0	90.0	100.0	*	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Z (iec-up)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	*	100.0	90.0	80.0	70.0	60.0	50.0	40.0	30.0	25.0	20.0	15.0	10.0	5.0	0.0	-5.0	-10.0	-15.0	-20.0	-25.0	-30.0	-40.0	-50.0	-60.0	-70.0	-80.0	-90.0	-100.0	
Y (iec-head)	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
100.0	0.0218	0.0250	0.0293	0.0338	0.0372	0.0408	0.0431	0.0465		0.0506		0.0527	0.0523		0.0500		0.0454	0.0424	0.0398	0.0361	0.0328	0.0286	0.0242	0.0206	*	0.0445	0.0428	0.0452	0.0472	0.0489	0.0504	0.0522	0.0529		0.0538		0.0544		0.0542		0.0543		0.0543		0.0535	0.0530	0.0517	0.0495	0.0484	0.0462	0.0434	0.0419	
90.0	0.0256	0.0297	0.0350	0.0401	0.0453	0.0507	0.0556	0.0594		0.0644		0.0671	0.0659		0.0631		0.0584	0.0543	0.0495	0.0447	0.0392	0.0335	0.0287	0.0244	*	0.0564	0.0534	0.0568	0.0595	0.0621	0.0634	0.0653	0.0670		0.0679		0.0687		0.0688		0.0694		0.0683		0.0682	0.0667	0.0656	0.0625	0.0603	0.0579	0.0545	0.0536	
80.0	0.0298	0.0357	0.0429	0.0495	0.0575	0.0646	0.0714	0.0776		0.0832		0.0865	0.0849		0.0816		0.0762	0.0695	0.0634	0.0561	0.0481	0.0414	0.0341	0.0288	*	0.0727	0.0691	0.0729	0.0766	0.0804	0.0834	0.0855	0.0879		0.0888		0.0901		0.0905		0.0899		0.0900		0.0891	0.0875	0.0849	0.0815	0.0784	0.0754	0.0710	0.0691	
70.0	0.0349	0.0423	0.0518	0.0623	0.0733	0.0853	0.0962	0.1057		0.1142		0.1177	0.1160		0.1113		0.1032	0.0921	0.0832	0.0708	0.0598	0.0499	0.0410	0.0340	*	0.0967	0.0924	0.0983	0.1036	0.1089	0.1141	0.1162	0.1198		0.1216		0.1224		0.1226		0.1224		0.1213		0.1200	0.1179	0.1145	0.1095	0.1051	0.1003	0.0950	0.0950	
60.0	0.0408	0.0501	0.0626	0.0757	0.0963	0.1228	0.1470	0.1618		0.1710		0.1754	0.1721		0.1672		0.1539	0.1376	0.1172	0.0916	0.0740	0.0601	0.0482	0.0395	*	0.1494	0.1471	0.1531	0.1605	0.1678	0.1737	0.1773	0.1813		0.1830		0.1828		0.1841		0.1832		0.0011		0.1825	0.1795	0.1751	0.1683	0.1630	0.1570	0.1511	0.1574	
50.0	0.0472	0.0596	0.0750	0.0953	0.1336	0.5344	0.8400	0.8576		0.8464		0.8253	0.7433		0.7243		0.6999	0.6499	0.4281	0.1263	0.0915	0.0717	0.0570	0.0457	*	0.5575	0.6141	0.6630	0.7070	0.7516	0.7874	0.8219	0.8450		0.8186		0.7973		0.8335		0.8300		0.8332		0.7956	0.7645	0.7235	0.6735	0.6400	0.5989	0.5553	0.5430	
40.0	0.0530	0.0678	0.0866	0.1137	0.1727	0.9360	1.4875	1.5160		1.5222		1.5295	1.5196		1.5078		1.5076	1.4702	0.7944	0.1612	0.1093	0.0835	0.0655	0.0516	*	1.7274	1.7804	1.7446	1.7177	1.6975	1.6565	1.6353	1.6101		1.6077		1.5897		1.5819		1.5919		1.5959		1.5996	1.5981	1.6186	1.6486	1.6689	1.6963	1.7335	1.7445	
30.0	0.0575	0.0738	0.0953	0.1268	0.1913	0.9847	1.5344	1.5644	1.5711	1.5751	1.5789	1.5834	1.5822	1.5760	1.5710	1.5737	1.5652	1.5142	0.8360	0.1787	0.1213	0.0915	0.0710	0.0556	*	1.7679	1.8335	1.7986	1.7775	1.7566	1.7218	1.7056	1.6825	1.6710	1.6726	1.6522	1.6450	1.6506	1.6480	1.6581	1.6458	1.6392	1.6612	1.6535	1.6665	1.6985	1.7048	1.7511	1.7767	1.7961	1.8190	1.8612	
25.0								1.5801	1.5889	1.5865	1.6081	1.5995	1.5904	1.5903	1.5848	1.5760	1.5841								*								1.6683	1.6430	1.6506	1.6322	1.6272	1.6322	1.6322	1.6281	1.6315	1.6276	1.6609	1.6536	1.6635								
20.0	0.0599	0.0776	0.1010	0.1335	0.2027	1.0217	1.5545	1.5928	1.6040	1.5990	1.6014	1.6096	1.6029	1.5941	1.5984	1.5941	1.5861	1.5487	0.8122	0.1895	0.1286	0.0973	0.0753	0.0586	*	1.7547	1.8418	1.8016	1.7717	1.7636	1.7284	1.7072	1.6872	1.6646	1.6689	1.6391	1.6509	1.6548	1.6467	1.6549	1.6472	1.6393	1.6669	1.6761	1.6916	1.7095	1.7233	1.7614	1.7847	1.8113	1.8382	1.8865	
15.0								1.5971	1.6068	1.6122	1.6120	1.6206	1.6070	1.6080	1.6050	1.6039	1.5944								*								1.6899	1.6812	1.6577	1.6494	1.6373	1.6421	1.6420	1.6378	1.6466	1.6391	1.6589	1.6676	1.6775								
10.0	0.0619	0.0800	0.1053	0.1402	0.2118	1.0354	1.5741	1.6044	1.6097	1.6141	1.6129	1.6191	1.6139	1.6126	1.6125	1.6088	1.6030	1.5627	0.8433	0.1976	0.1347	0.1013	0.0782	0.0605	*	1.7974	1.8889	1.8231	1.7893	1.7787	1.7410	1.7110	1.6808	1.6739	1.6545	1.6450	1.6486	1.6457	1.6483	1.6536	1.6419	1.6512	1.6684	1.6798	1.6909	1.7249	1.7458	1.7680	1.8028	1.8105	1.8667	1.9151	
5.0								1.6050	1.6159	1.6207	1.6171	1.6207	1.6164	1.6141	1.6173	1.6138	1.6074								*								1.6919	1.6653	1.6659	1.6410	1.6524	1.6391	1.6517	1.6458	1.6494	1.6441	1.6583	1.6733	1.6688								
0.0	0.0634	0.0812	0.1063	0.1417	0.2132	1.0480	1.5866	1.6061	1.6158	1.6222	1.6237	1.6243	1.6222	1.6186	1.6190	1.6161	1.6092	1.5713	0.8267	0.1998	0.1371	0.1031	0.0790	0.0610	*	1.7922	1.8705	1.8210	1.7909	1.7807	1.7459	1.7210	1.7005	1.6762	1.6791	1.6605	1.6659	1.6673	1.6683	1.6718	1.6596	1.6590	1.6671	1.6801	1.7028	1.7216	1.7399	1.7710	1.7885	1.8141	1.8505	1.8913	
-5.0								1.6165	1.6133	1.6224	1.6264	1.6296	1.6269	1.6282	1.6152	1.6104	1.6083								*								1.6884	1.6920	1.6806	1.6405	1.6539	1.6584	1.6537	1.6607	1.6582	1.6583	1.6677	1.6747	1.6972								
-10.0	0.0632	0.0816	0.1060	0.1405	0.2135	1.0497	1.5862	1.6167	1.6196	1.6172	1.6254	1.6252	1.6259	1.6249	1.6194	1.6190	1.6042	1.5752	0.8196	0.1963	0.1350	0.1015	0.0780	0.0608	*	1.8113	1.8844	1.8506	1.8268	1.8021	1.7709	1.7362	1.7163	1.6977	1.7116	1.6674	1.6723	1.6771	1.6829	1.6633	1.6690	1.6622	1.6735	1.6932	1.6945	1.7260	1.7428	1.7604	1.7885	1.8091	1.8401	1.8745	
-15.0								1.6094	1.6215	1.6284	1.6276	1.6244	1.6236	1.6250	1.6245	1.6196	1.6115								*								1.6905	1.6974	1.6833	1.6671	1.6569	1.6579	1.6595	1.6689	1.6703	1.6648	1.6684	1.6839	1.6838								
-20.0	0.0617	0.0793	0.1037	0.1377	0.2103	1.0623	1.5735	1.6101	1.6187	1.6188	1.6197	1.6279	1.6199	1.6139	1.6320	1.6250	1.6095	1.5661	0.8049	0.1942	0.1315	0.0990	0.0765	0.0600	*	1.7907	1.8626	1.8377	1.8119	1.7879	1.7591	1.7243	1.7045	1.6903	1.6797	1.6613	1.6719	1.6731	1.6689	1.6821	1.6811	1.6814	1.6949	1.6883	1.7090	1.7358	1.7543	1.7665	1.7780	1.8219	1.8443	1.8959	
-25.0								1.6002	1.6059	1.6179	1.6171	1.6115	1.6169	1.6057	1.6096	1.6037	1.5886								*								1.6890	1.6779	1.6662	1.6482	1.6466	1.6683	1.6701	1.6620	1.6631	1.6583	1.6827	1.6740	1.6912								
-30.0	0.0596	0.0758	0.0983	0.1309	0.1997	1.0712	1.5618	1.5923	1.5994	1.6053	1.6047	1.6113	1.6011	1.6035	1.5993	1.5884	1.5876	1.5435	0.7858	0.1840	0.1248	0.0947	0.0732	0.0580	*	1.7741	1.8609	1.8211	1.7821	1.7587	1.7344	1.7085	1.6861	1.6753	1.6656	1.6590	1.6410	1.6457	1.6473	1.6483	1.6552	1.6451	1.6684	1.6777	1.6894	1.7076	1.7180	1.7674	1.7875	1.8269	1.8635	1.8808	
-40.0	0.0556	0.0706	0.0908	0.1186	0.1808	1.0515	1.5156	1.5368		1.5531		1.5623	1.5614		1.5496		1.5362	1.5028	0.7572	0.1660	0.1134	0.0876	0.0678	0.0539	*	1.7227	1.7697	1.7508	1.7120	1.7002	1.6721	1.6530	1.6372		1.6192		1.5959		1.5974		1.6129		1.6287		1.6358	1.6563	1.6836	1.7057	1.7305	1.7671	1.8036	1.8200	
